NOMBRE_PASO_PE;HORA;SOLAR;EOLICO;;;;;;
114;11;0.801233169;0.044522356;;;;;;
114;12;0.788864338;0.038789493;;;;;;
114;13;0.730559258;0.042288377;;;;;;
114;14;0.534967347;0.055985694;;;;;;
114;15;0.423265696;0.057867188;;;;;;
114;16;0.262067966;0.070699384;;;;;;
114;17;0.078944893;0.063795471;;;;;;
114;18;0.002295333;0.058622068;;;;;;
114;19;0;0.162946557;;;;;;
114;20;0;0.223321632;;;;;;
114;21;0;0.202249345;;;;;;
114;22;0;0.212716618;;;;;;
114;23;0;0.202516339;;;;;;
115;0;0;0.25323284;;;;;;
115;1;0;0.277360678;;;;;;
115;2;0;0.236065885;;;;;;
115;3;0;0.180917442;;;;;;
115;4;0;0.15958688;;;;;;
115;5;0;0.220625413;;;;;;
115;6;0;0.213439765;;;;;;
115;7;0.029908388;0.206760523;;;;;;
115;8;0.21905688;0.259518191;;;;;;
115;9;0.414500483;0.126309053;;;;;;
115;10;0.681791587;0.080149207;;;;;;
115;11;0.818487869;0.082268089;;;;;;
115;12;0.867899916;0.063787064;;;;;;
115;13;0.857876009;0.051552018;;;;;;
115;14;0.763106214;0.036470169;;;;;;
115;15;0.428778229;0.048981446;;;;;;
115;16;0.137510082;0.063673154;;;;;;
115;17;0.03744472;0.081493622;;;;;;
115;18;0.000476331;0.195542455;;;;;;
115;19;0;0.349122414;;;;;;
115;20;0;0.350724437;;;;;;
115;21;0;0.386811691;;;;;;
115;22;0;0.398813824;;;;;;
115;23;0;0.363864377;;;;;;
116;0;0;0.295868602;;;;;;
116;1;0;0.274089855;;;;;;
116;2;0;0.232848595;;;;;;
116;3;0;0.146380809;;;;;;
116;4;0;0.198959536;;;;;;
116;5;0;0.176571774;;;;;;
116;6;0;0.177047338;;;;;;
116;7;0.008201639;0.140619559;;;;;;
116;8;0.098842872;0.139130834;;;;;;
116;9;0.245676071;0.125552354;;;;;;
116;10;0.318928022;0.144819166;;;;;;
116;11;0.464577214;0.130023834;;;;;;
116;12;0.507745204;0.156846136;;;;;;
116;13;0.625804603;0.190387873;;;;;;
116;14;0.523594623;0.324321834;;;;;;
116;15;0.541884876;0.373150596;;;;;;
116;16;0.367239217;0.632999953;;;;;;
116;17;0.132610168;0.495032005;;;;;;
116;18;0.002001596;0.450468165;;;;;;
116;19;0;0.464594995;;;;;;
116;20;0;0.508921738;;;;;;
116;21;0;0.62649561;;;;;;
116;22;0;0.695374902;;;;;;
116;23;0;0.751577061;;;;;;
117;0;0;0.764267363;;;;;;
117;1;0;0.748687027;;;;;;
117;2;0;0.643710022;;;;;;
117;3;0;0.674024346;;;;;;
117;4;0;0.630324939;;;;;;
117;5;0;0.589558579;;;;;;
117;6;0;0.438790443;;;;;;
117;7;0.037299305;0.310820039;;;;;;
117;8;0.271040194;0.230312043;;;;;;
117;9;0.536128846;0.122672867;;;;;;
117;10;0.663655769;0.13879042;;;;;;
117;11;0.793296083;0.122741519;;;;;;
117;12;0.765806245;0.107717015;;;;;;
117;13;0.743703019;0.091565109;;;;;;
117;14;0.668753828;0.08839256;;;;;;
117;15;0.558301614;0.079452773;;;;;;
117;16;0.375387711;0.076778487;;;;;;
117;17;0.115667186;0.076545237;;;;;;
117;18;0.001968804;0.128578462;;;;;;
117;19;0;0.231038625;;;;;;
117;20;0;0.266035526;;;;;;
117;21;0;0.274829847;;;;;;
117;22;0;0.421799897;;;;;;
117;23;0;0.326193635;;;;;;
118;0;0;0.270979315;;;;;;
118;1;0;0.351090976;;;;;;
118;2;0;0.297961713;;;;;;
118;3;0;0.275845952;;;;;;
118;4;0;0.265486869;;;;;;
118;5;0;0.265994567;;;;;;
118;6;0;0.269262836;;;;;;
118;7;0.004441616;0.183638686;;;;;;
118;8;0.021339503;0.241225071;;;;;;
118;9;0.088942384;0.186440249;;;;;;
118;10;0.156700949;0.101107492;;;;;;
118;11;0.198201501;0.096481718;;;;;;
118;12;0.395983388;0.101996019;;;;;;
118;13;0.230053794;0.132766373;;;;;;
118;14;0.192336178;0.128879247;;;;;;
118;15;0.112588482;0.154665731;;;;;;
118;16;0.115871106;0.192520315;;;;;;
118;17;0.026583849;0.275378684;;;;;;
118;18;0.000120377;0.289343681;;;;;;
118;19;0;0.33837208;;;;;;
118;20;0;0.326575476;;;;;;
118;21;0;0.348184355;;;;;;
118;22;0;0.281509666;;;;;;
118;23;0;0.191286825;;;;;;
119;0;0;0.19639718;;;;;;
119;1;0;0.173723845;;;;;;
119;2;0;0.196909535;;;;;;
119;3;0;0.19206908;;;;;;
119;4;0;0.270159998;;;;;;
119;5;0;0.220278685;;;;;;
119;6;0;0.196436115;;;;;;
119;7;0.005009644;0.147394674;;;;;;
119;8;0.138117104;0.149616909;;;;;;
119;9;0.184652952;0.13221999;;;;;;
119;10;0.319800101;0.190091526;;;;;;
119;11;0.273749411;0.244146713;;;;;;
